Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
Dinner for Schmucks,Comedy,"83739         Alex Borstein
86201            P.J. Byrne
87142          Steve Carell
99583      Patrick Fischler
101328    Zach Galifianakis
104447      Bruce Greenwood
120014       Ron Livingston
136929           Lucy Punch
141326            Paul Rudd
143137        Andrea Savage
147659      Octavia Spencer
154764       David Walliams
164006       Kristen Schaal
165982    Stephanie Szostak
168040      Jemaine Clement
168104         Randall Park
170307         Chris O'Dowd
175155           Nick Kroll
181820          Blanca Soto
Name: Actor, dtype: object",['Jay Roach'],"David Guion (screenplay), Michael Handelman (screenplay), Francis Veber (film \",English,"72,980,108",USA,30 Jul 2010,114 min,5.9,1 nomination.,tt0427152.jpg
The Tourist,"Action, Romance, Thriller","5561         Johnny Depp
32871     Steven Berkoff
38015     Timothy Dalton
46364     Angelina Jolie
57200       Rufus Sewell
72521       Ralf Moeller
82266       Paul Bettany
83472       Alessio Boni
83969         Raoul Bova
103228     Iddo Goldberg
184815        Gwilym Lee
Name: Actor, dtype: object",['Florian Henckel von Donnersmarck'],"Florian Henckel von Donnersmarck (screenplay), Christopher McQuarrie (screenplay), Julian Fellowes (screenplay), Jérôme Salle (motion picture \","English, French, Italian, Russian, Spanish","67,631,157","USA, France, Italy",10 Dec 2010,103 min,6.0,Nominated for 3 Golden Globes. Another 3 wins & 2 nominations.,tt1243957.jpg
The Bounty Hunter,"Action, Comedy, Romance","3941          Jennifer Aniston
46452               Carol Kane
51211           Cathy Moriarty
67387       Christine Baranski
86045            Gerard Butler
90770          David Costabile
90867           Ritchie Coster
98316     Siobhan Fallon Hogan
101782             Jeff Garlin
104373            Peter Greene
149388          Jason Sudeikis
162382         Christian Borle
Name: Actor, dtype: object",['Andy Tennant'],Sarah Thorp,English,"67,061,228",USA,19 Mar 2010,110 min,5.5,1 win & 5 nominations.,tt1038919.jpg
The Sorcerer's Apprentice,"Action, Adventure, Family","4744            Nicolas Cage
20096            Alice Krige
22653          Alfred Molina
32394        Monica Bellucci
80946           Jay Baruchel
125995           Ian McShane
127294    Omar Benson Miller
134473            Ethan Peck
169281    Parisa Fitz-Henley
171179          Toby Kebbell
171448           Jake Cherry
176798         Teresa Palmer
178257          Manish Dayal
181549           Peyton List
183705         Robert Capron
Name: Actor, dtype: object",['Jon Turteltaub'],"Lawrence Konner (screen story), Mark Rosenthal (screen story), Matt Lopez (screen story), Matt Lopez (screenplay), Doug Miro (screenplay), Carlo Bernard (screenplay)","English, Cantonese","63,143,812",USA,14 Jul 2010,109 min,6.1,1 win & 1 nomination.,tt0963966.jpg
The Last Song,"Drama, Romance","24299      Kelly Preston
47253       Greg Kinnear
104877     Rhoda Griffis
144295       Nick Searcy
153940       Kate Vernon
169377       Miley Cyrus
180451    Melissa Ordway
183726    Liam Hemsworth
185542     Carly Chaikin
Name: Actor, dtype: object",['Julie Anne Robinson'],"Nicholas Sparks (screenplay), Jeff Van Wie (screenplay), Nicholas Sparks (book)",English,"62,933,793",USA,31 Mar 2010,107 min,5.8,4 wins & 9 nominations.,tt1294226.jpg
The Wolfman,"Drama, Fantasy, Horror","6964        Anthony Hopkins
36245     Geraldine Chaplin
38801      Benicio Del Toro
62585         Max von Sydow
122231            Art Malik
141758        Clive Russell
156018         Hugo Weaving
167471          Emily Blunt
170415        Sam Hazeldine
179429         Gemma Whelan
181927      Asa Butterfield
183328    Mia McKenna-Bruce
186172    Kate Dion-Richard
Name: Actor, dtype: object",['Joe Johnston'],"Andrew Kevin Walker (screenplay), David Self (screenplay), Curt Siodmak","English, Romany","61,937,495",USA,12 Feb 2010,103 min,5.8,Won 1 Oscar. Another 2 wins & 7 nominations.,tt0780653.jpg
Get Him to the Greek,"Comedy, Music","22318            Colm Meaney
67216     Christina Aguilera
72653         Elisabeth Moss
74201         Ricky Schroder
81485           Kristen Bell
86245             Rose Byrne
98387       Stephanie Faracy
99016             Tom Felton
101448           Carla Gallo
121434           Mario Lopez
146268           Jamie Sives
162332          Ato Essandoh
164004        Kristen Schaal
167033         Russell Brand
172282             Kali Hawk
172557         Meghan Markle
173746            Jonah Hill
175152            Nick Kroll
178196           Aziz Ansari
178627          Jake Johnson
180332         Lindsey Broad
181408           T.J. Miller
181765          Ellie Kemper
185394       Jessica Ellerby
185877          Derek Theler
Name: Actor, dtype: object",['Nicholas Stoller'],"Nicholas Stoller, Jason Segel (characters)",English,"60,923,325",USA,04 Jun 2010,109 min,6.4,14 nominations.,tt1226229.jpg
Resident Evil: Afterlife,"Action, Adventure, Horror","7309             Milla Jovovich
71212                Ali Larter
89071                Kim Coates
105376          Sienna Guillory
115935             Boris Kodjoe
127315         Wentworth Miller
134845    Sergio Peris-Mencheta
139768            Shawn Roberts
173492            Spencer Locke
Name: Actor, dtype: object",['Paul W.S. Anderson'],Paul W.S. Anderson,"English, Japanese, Spanish","60,128,566","Germany, France, USA, Canada",10 Sep 2010,97 min,5.9,2 wins & 8 nominations.,tt1220634.jpg
Secretariat,"Drama, Family, History","7747            Diane Lane
14169       James Cromwell
21657       John Malkovich
42690          Scott Glenn
80234          Dylan Baker
89678       Kevin Connolly
123584    Margo Martindale
126067     Graham McTavish
154810         Dylan Walsh
169219         AJ Michalka
169720          Eric Lange
174308        Nelsan Ellis
Name: Actor, dtype: object",['Randall Wallace'],"Mike Rich, William Nack (book)",English,"59,699,513",USA,08 Oct 2010,123 min,7.2,3 wins & 6 nominations.,tt1028576.jpg
Easy A,"Comedy, Romance","22119        Malcolm McDowell
47598             Lisa Kudrow
60185           Stanley Tucci
63505     Thomas Haden Church
68098            Amanda Bynes
78987            Fred Armisen
79975            Penn Badgley
86112                Dan Byrd
88911       Patricia Clarkson
167647             Emma Stone
169552           Aly Michalka
170458        Juliette Goglia
171470           Cam Gigandet
173925         Johanna Braddy
Name: Actor, dtype: object",['Will Gluck'],Bert V. Royal,English,"58,401,464",USA,17 Sep 2010,92 min,7.1,Nominated for 1 Golden Globe. Another 9 wins & 19 nominations.,tt1282140.jpg
Takers,"Action, Crime, Thriller","15459                Matt Dillon
26037          Johnathon Schaech
46323     Marianne Jean-Baptiste
69736               Steve Harris
88547         Hayden Christensen
97428                 Idris Elba
97719               Gideon Emery
108324             Jay Hernandez
123650           Benito Martinez
142547               Zoe Saldana
152591              Glynn Turman
152691         Nicholas Turturro
154549               Paul Walker
162213              Michael Ealy
174520               Zulay Henao
174757            Trevor Donovan
176602                      T.I.
178697             Gaius Charles
183899               Isa Briones
Name: Actor, dtype: object",['John Luessenhop'],"Peter Allen, Gabriel Casseus, John Luessenhop, Avery Duff",English,"57,744,720",USA,27 Aug 2010,107 min,6.2,2 wins & 6 nominations.,tt1135084.jpg
Legend of the Guardians: The Owls of Ga'Hoole,"Animation, Action, Adventure","22502            Helen Mirren
23000               Sam Neill
47669        Anthony LaPaglia
56116           Geoffrey Rush
90582           Abbie Cornish
93380             Essie Davis
97147           Joel Edgerton
100997    Deborra-Lee Furness
116683           Ryan Kwanten
123106       Miriam Margolyes
141206       Richard Roxburgh
142635          Angus Sampson
149303           Jim Sturgess
156019           Hugo Weaving
156663           David Wenham
165629         Leigh Whannell
Name: Actor, dtype: object",['Zack Snyder'],"John Orloff (screenplay), Emil Stern (screenplay), Kathryn Lasky (novels)",English,"55,673,333","USA, Australia",24 Sep 2010,97 min,7.0,4 wins & 23 nominations.,tt1219342.jpg
Life as We Know It,"Comedy, Drama, Romance","44629         Katherine Heigl
68554        Majandra Delfino
74771              Jean Smart
92749             Andrew Daly
96462            Josh Duhamel
108122    Christina Hendricks
118155             Reggie Lee
120777            Faizon Love
120938             Josh Lucas
124370       Melissa McCarthy
136305         Melissa Ponzio
143096             Will Sasso
163869             Rob Huebel
165190      Jessica St. Clair
176111        Hayes MacArthur
176217            Sarah Burns
183687           Andy Buckley
186121        Kumail Nanjiani
Name: Actor, dtype: object",['Greg Berlanti'],"Ian Deitchman, Kristin Rusk Robinson",English,"53,358,964",USA,08 Oct 2010,114 min,6.6,2 nominations.,tt1055292.jpg
Letters to Juliet,"Comedy, Drama, Romance","24730       Vanessa Redgrave
53411           Oliver Platt
97229       Christopher Egan
101651    Gael Garcia Bernal
130474           Franco Nero
163630       Amanda Seyfried
Name: Actor, dtype: object",['Gary Winick'],"Jose Rivera, Tim Sullivan","English, Italian, Spanish","53,021,560",USA,14 May 2010,105 min,6.5,4 nominations.,tt0892318.jpg
Wall Street: Money Never Sleeps,Drama,"5705       Michael Douglas
9259        Susan Sarandon
9523         Charlie Sheen
9973          Oliver Stone
34502          Josh Brolin
47997       Frank Langella
88814         Jason Clarke
116756        Shia LaBeouf
134714    Austin Pendleton
154691         Eli Wallach
163670     Vanessa Ferlito
173105      Carey Mulligan
179811     Natalie Morales
Name: Actor, dtype: object",['Oliver Stone'],"Allan Loeb, Stephen Schiff, Stanley Weiser (characters), Oliver Stone (characters)",English,"52,474,616",USA,24 Sep 2010,133 min,6.3,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,tt1027718.jpg
Predators,"Action, Adventure, Sci-Fi","16534     Laurence Fishburne
60047            Danny Trejo
68011           Adrien Brody
84424            Alice Braga
103176        Walton Goggins
103813          Topher Grace
126135           Derek Mears
161715        Mahershala Ali
Name: Actor, dtype: object",['Nimród Antal'],"Alex Litvak, Michael Finch, Jim Thomas (characters), John Thomas (characters)","English, Spanish, Russian","52,000,688",USA,09 Jul 2010,107 min,6.4,2 wins & 4 nominations.,tt1424381.jpg
Hubble 3D,"Documentary, Short","['Leonardo DiCaprio', 'Scott D. Altman', 'Andrew J. Feustel', 'Michael T. Good']",['Toni Myers'],"Toni Myers, Frank Summers, Graeme Ferguson",English,"51,511,887",Canada,19 Mar 2010,40 min,7.8,1 win.,tt1433813.jpg
Hot Tub Time Machine,"Comedy, Sci-Fi","5327               John Cusack
13788              Chevy Chase
17187           Crispin Glover
76934               Lynda Boyd
87035             Lizzy Caplan
96525               Clark Duke
118529           Thomas Lennon
120820    Yan-Kay Crystal Lowe
134059            Jessica Pare
139931          Craig Robinson
161046           William Zabka
161459          Lyndsy Fonseca
164199             Rob Corddry
169135             Diora Baird
173075          Sebastian Stan
173213       Charlie McDermott
178763          Collette Wolfe
187167           Edward Ruttle
Name: Actor, dtype: object",['Steve Pink'],"Josh Heald (screenplay), Sean Anders (screenplay), John Morris (screenplay), Josh Heald (story)","English, Russian","50,213,619",USA,26 Mar 2010,101 min,6.4,4 nominations.,tt1231587.jpg
Kick-Ass,"Action, Comedy","4743                  Nicolas Cage
13216                 Yancy Butler
50536           Elizabeth McGovern
64452                Jason Flemyng
64512              Dexter Fletcher
81970              Xander Berkeley
96524                   Clark Duke
139465             Michael Rispoli
149071                 Mark Strong
161458              Lyndsy Fonseca
163791        Aaron Taylor-Johnson
165078              Omari Hardwick
169177                 Evan Peters
172693          Chloe Grace Moretz
180187                   Sophie Wu
180605    Christopher Mintz-Plasse
Name: Actor, dtype: object",['Matthew Vaughn'],"Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",English,"48,043,505","UK, USA",16 Apr 2010,117 min,7.7,16 wins & 61 nominations.,tt1250777.jpg
Killers,"Action, Comedy, Romance","26126            Tom Selleck
44630        Katherine Heigl
51757       Catherine O'Hara
71118         Ashton Kutcher
82513          Mary Birdsong
83740          Alex Borstein
86747     Larry Joe Campbell
129535           Martin Mull
149581         Kevin Sussman
154951       Lisa Ann Walter
159079      Katheryn Winnick
169820            Rob Riggle
174341          Ariel Winter
177156          Casey Wilson
Name: Actor, dtype: object",['Robert Luketic'],"Bob DeRosa (screenplay), Ted Griffin (screenplay), Bob DeRosa (story)",English,"47,000,485",USA,04 Jun 2010,100 min,5.4,2 wins & 3 nominations.,tt1103153.jpg
Saw 3D: The Final Chapter,"Horror, Mystery","5892                Cary Elwes
41184     Sean Patrick Flanery
81515               Tobin Bell
85315                Greg Bryk
122479         Costas Mandylor
141671           Betsy Russell
158727           Rachel Wilson
166832             Gina Holden
179791                 Jon Cor
187614           Kevin McGarry
Name: Actor, dtype: object",['Kevin Greutert'],"Patrick Melton, Marcus Dunstan",English,"45,670,855","Canada, USA",29 Oct 2010,90 min,5.6,3 nominations.,tt1477076.jpg
